编号,模块,用例标题,优先级,前置条件,操作步骤,预期结果,预期截图,实际结果,实际截图,状态,备注
SMK-01,页面加载,"页面 3 秒内完整加载",P0,"隐私模式 / 部署地址 / F12 已打开","1. 访问部署地址`https://xxx`
2. 计时从 URL 回车到 logo+搜索框+侧边栏+结果区全部出现","① 3s 内完整加载
② 控制台无红色 Error
③ 无 i18n key 暴露（如 authMethod）","SMK-01-① 首屏完整截图.png
SMK-01-② Console 无红框.png",,,⚪ 未测,
SMK-02,页面加载,"品牌 logo + 主题色正确",P0,"页面已加载完成","1. 观察左上角 logo
2. 观察主背景与按钮强调色","① LightArt logo 正确显示，无 broken image
② 深色背景 + 金色 #FFD230 按钮强调色
③ 字体加载正常","SMK-02-① logo+主题截图.png",,,⚪ 未测,
SMK-03,认证,"Basic Auth 登录成功",P0,"未登录状态 / 隐私模式","1. 点击右上角认证入口
2. 输入用户名/密码
3. 点击确认","① 弹窗正常出现
② 提交后显示『已认证』状态
③ 页面无刷新/白屏
④ Network 中后续请求带 x-usdsearch-storage-backend header","SMK-03-① 登录前.png
SMK-03-② 登录后已认证.png
SMK-03-③ Network header.png",,,⚪ 未测,
SMK-04,搜索,"关键词搜索『建筑』",P0,"已登录","1. 搜索框输入『建筑』
2. 回车","① ≤2s 返回结果
② 结果数 > 0 显示在标题栏
③ 缩略图正常加载（非全部灰色 placeholder）
④ URL 同步包含 query","SMK-04-① 搜索结果.png",,,⚪ 未测,
SMK-05,搜索,"以图搜图（相机图标）",P0,"已登录","1. 点击搜索框相机图标
2. 选择本地图片
3. 等待结果","① 图片预览出现在搜索框
② 返回相似结果
③ 点击预览 X 可清除并恢复文本搜索","SMK-05-① 图片预览态.png
SMK-05-② 相似结果.png",,,⚪ 未测,
SMK-06,过滤器,"分类侧边栏点击『建筑』",P0,"已登录 / 当前为所有产品","1. 左侧分类点击『建筑』
2. 观察请求与结果","① payload 含 filter_by_tags=[建筑]
② 结果全部含『建筑』tag
③ 侧边栏『建筑』高亮金色
④ URL 同步 ?category=建筑","SMK-06-① 分类高亮+payload.png
SMK-06-② 结果 tag 标识.png",,,⚪ 未测,
SMK-07,详情,"打开资产详情",P0,"有搜索结果","1. 单击任意结果卡片","① 弹出详情模态框
② 缩略图正常
③ 显示资产名称/路径/属性
④ 标签列表展示","SMK-07-① 详情弹窗.png",,,⚪ 未测,
SMK-08,标签,"详情弹窗增删标签",P0,"详情弹窗已打开","1. 输入新标签 → 回车
2. 删除该标签","① 添加后立即出现在列表
② 删除后立即消失
③ 关闭弹窗后卡片标签同步更新
④ 控制台无 wss 错误","SMK-08-① 添加成功.png
SMK-08-② 删除成功.png
SMK-08-③ 卡片同步.png",,,⚪ 未测,关联 KNOWN-PITFALLS#Tag线上静默失败
SMK-09,目录树,"目录树加载与点击",P0,"已登录","1. 观察左侧/路径筛选目录树
2. 点击任意节点","① 登录态下目录树正常加载
② 点击节点 → search_path 自动填入
③ 搜索自动触发","SMK-09-① 目录树.png
SMK-09-② 点击后路径填入.png",,,⚪ 未测,
SMK-10,视图,"Grid/List 切换",P0,"有搜索结果","1. 点击 List 切换
2. 点击 Grid 切换回","① 切换无白屏/错位
② Grid 显示缩略图网格
③ List 显示列表布局","SMK-10-① Grid.png
SMK-10-② List.png",,,⚪ 未测,
